surname,RANK,FREQUENCY (COUNT),"PROPORTION PER 100,000 POPULATION",CUMULATIVE PROPORTION,White,Black,Asian,Native,PERCENT NON-HISPANIC OR LATINO TWO OR MORE RACES,Latino
WALSH,295,"105,079",35.6,"27,214.20",94.5,1.1,0.7,0.2,1.4,2.2
BOWMAN,296,"105,007",35.6,"27,249.80",80.8,13.6,0.5,0.8,2.1,2.2
SCHULTZ,297,"104,888",35.6,"27,285.40",94.8,0.7,0.6,0.4,1.3,2.2
LUNA,298,"104,518",35.4,"27,320.80",8.2,0.4,1.8,0.4,0.4,88.8
FOWLER,299,"104,515",35.4,"27,356.30",81.4,12.9,0.5,1,2.1,2.2
MEJIA,300,"104,057",35.3,"27,391.50",3.4,0.5,1.3,0.1,0.2,94.5
DAVIDSON,301,"103,930",35.2,"27,426.80",84.4,10.1,0.7,0.7,1.9,2.4
ACOSTA,302,"103,418",35.1,"27,461.80",7,0.6,2.3,0.3,0.4,89.5
BREWER,303,"103,318",35,"27,496.90",81.3,12.6,0.4,1.4,2.1,2.2
MAY,304,"103,306",35,"27,531.90",83.6,9.6,1.2,0.7,1.9,3
HOLLAND,305,"102,538",34.8,"27,566.60",76.8,17.7,0.5,0.6,2.2,2.4
JUAREZ,306,"101,949",34.6,"27,601.20",3.4,0.2,0.4,0.2,0.2,95.7
NEWMAN,307,"101,931",34.6,"27,635.80",83,11.1,0.6,0.7,2,2.6
PEARSON,308,"101,836",34.5,"27,670.30",72.1,22.5,0.6,0.4,2.1,2.2
CURTIS,309,"101,801",34.5,"27,704.80",77.9,15.8,0.5,1,2.1,2.6
CORTEZ,310,"101,694",34.5,"27,739.30",6,0.7,2.9,0.3,0.4,89.7
DOUGLAS,311,"101,458",34.4,"27,773.70",58.6,34.7,0.5,0.7,2.7,2.8
SCHNEIDER,312,"101,290",34.3,"27,808.00",95.4,0.4,0.6,0.3,1.2,2.2
JOSEPH,313,"100,959",34.2,"27,842.20",29.6,54.2,9.8,1,2.5,3
BARRETT,314,"100,104",33.9,"27,876.20",80.7,13.4,0.7,0.6,2,2.7
NAVARRO,315,"99,807",33.8,"27,910.00",6.7,0.4,4,0.2,0.6,88.1
FIGUEROA,316,"98,468",33.4,"27,943.40",4.9,0.8,1,0.2,0.3,92.8
KELLER,317,"98,268",33.3,"27,976.70",91.4,3.9,0.6,0.5,1.5,2.3
AVILA,318,"97,314",33,"28,009.70",7,0.4,1.1,0.2,0.3,91
WADE,319,"97,040",32.9,"28,042.60",64.9,29.1,0.5,0.7,2.4,2.3
MOLINA,320,"96,979",32.9,"28,075.50",5.8,0.5,2.3,0.6,0.4,90.3
STANLEY,321,"96,867",32.8,"28,108.30",78.8,15.1,0.7,1.2,2,2.3
HOPKINS,322,"96,810",32.8,"28,141.10",73.6,20.7,0.5,0.9,2.3,2.1
CAMPOS,323,"96,111",32.6,"28,173.70",7.1,0.4,1.4,0.2,0.4,90.5
BARNETT,324,"95,681",32.4,"28,206.10",76.4,17.5,0.4,0.9,2.2,2.6
BATES,325,"95,622",32.4,"28,238.60",75.4,18.9,0.6,0.8,2,2.4
CHAMBERS,326,"94,988",32.2,"28,270.80",65.7,28.5,0.5,0.6,2.3,2.5
CALDWELL,327,"93,944",31.9,"28,302.60",68.1,26.2,0.4,0.7,2.3,2.3
BECK,328,"93,786",31.8,"28,334.40",90.3,4.5,0.7,0.6,1.7,2.2
LAMBERT,329,"93,678",31.8,"28,366.20",83.7,9.9,0.6,1.3,1.8,2.8
MIRANDA,330,"93,628",31.7,"28,397.90",12.3,1.3,4.2,0.4,0.8,81
BYRD,331,"92,904",31.5,"28,429.40",59,34.6,0.4,1.3,2.6,2.1
CRAIG,332,"92,507",31.4,"28,460.70",79,15.2,0.6,0.8,2.1,2.4
AYALA,333,"92,463",31.4,"28,492.10",4.4,0.5,0.5,0.2,0.2,94.3
LOWE,334,"92,260",31.3,"28,523.40",73,19.4,1.7,1,2.4,2.6
FRAZIER,335,"92,152",31.2,"28,554.60",56.1,37.4,0.4,1.4,2.5,2.3
POWERS,336,"91,970",31.2,"28,585.80",89.6,5.2,0.7,0.6,1.7,2.4
NEAL,337,"91,694",31.1,"28,616.90",62.1,31.8,0.6,0.7,2.6,2.2
LEONARD,338,"91,475",31,"28,647.90",80.4,14.1,0.6,0.8,1.8,2.4
GREGORY,339,"91,384",31,"28,678.90",78.6,15.6,0.6,0.8,2,2.5
CARRILLO,340,"91,129",30.9,"28,709.80",5.1,0.2,0.7,0.4,0.2,93.3
SUTTON,341,"90,964",30.8,"28,740.60",72.8,21.7,0.5,0.7,2.2,2.1
FLEMING,342,"90,677",30.7,"28,771.30",71.7,22.8,0.6,0.5,2.2,2.2
RHODES,343,"90,670",30.7,"28,802.10",74.8,20,0.5,0.6,1.9,2.2
SHELTON,344,"90,517",30.7,"28,832.80",73.5,20.6,0.5,0.7,2.5,2.2
SCHWARTZ,345,"90,071",30.5,"28,863.30",95.9,0.4,0.6,0.2,1,1.9
NORRIS,346,"89,796",30.4,"28,893.70",79.9,14.4,0.5,0.9,2,2.2
JENNINGS,347,"89,700",30.4,"28,924.10",70.9,23.1,0.7,0.7,2.3,2.5
WATTS,348,"89,649",30.4,"28,954.50",68.6,25.5,0.5,0.8,2.4,2.3
DURAN,349,"89,401",30.3,"28,984.80",9.9,0.5,1.2,0.8,0.4,87.1
WALTERS,350,"89,376",30.3,"29,015.10",82.9,11.3,0.7,0.8,1.7,2.6
COHEN,351,"89,091",30.2,"29,045.30",88.9,6,0.7,0.1,1.1,3.3
MCDANIEL,352,"88,728",30.1,"29,075.40",76.2,18.4,0.4,0.6,2.1,2.4
MORAN,353,"88,615",30,"29,105.50",64.1,2.4,0.7,0.8,1.1,30.8
PARKS,354,"88,586",30,"29,135.50",69.4,24.9,0.6,0.7,2.4,2.1
STEELE,355,"88,230",29.9,"29,165.40",78.3,15.6,0.5,1.2,2,2.4
VAUGHN,356,"88,060",29.9,"29,195.30",71.5,22.7,0.4,0.8,2.3,2.3
BECKER,357,"87,859",29.8,"29,225.00",94.9,0.5,0.7,0.3,1.3,2.3
HOLT,358,"87,531",29.7,"29,254.70",79.4,14.9,0.6,0.9,2.2,2.1
DELEON,359,"87,414",29.6,"29,284.40",6.6,1,8.3,0.2,0.7,83.1
BARKER,360,"87,162",29.6,"29,313.90",86.5,7.8,0.7,0.7,1.9,2.4
TERRY,361,"87,000",29.5,"29,343.40",66.3,27.3,0.6,0.7,2.4,2.7
HALE,362,"86,618",29.4,"29,372.80",82.2,11.4,0.5,1.2,2.2,2.4
LEON,363,"86,363",29.3,"29,402.00",10,3,1,0.4,0.4,85.2
HAIL,364,"86,240",29.2,"29,431.30",73.1,21.6,0.4,0.5,2.1,2.3
BENSON,365,"86,081",29.2,"29,460.50",77.9,16.2,0.8,0.8,2,2.4
HAYNES,366,"85,974",29.2,"29,489.60",61.1,33.2,0.4,0.6,2.3,2.5
HORTON,367,"85,195",28.9,"29,518.50",70,24.3,0.5,0.7,2.3,2.2
MILES,368,"84,942",28.8,"29,547.30",61.3,32.4,0.5,0.8,2.6,2.4
LYONS,369,"84,516",28.7,"29,575.90",74.9,19.2,0.5,1,2.1,2.3
PHAM,370,"84,320",28.6,"29,604.50",0.9,0.2,96.3,0,1.8,0.7
GRAVES,371,"84,179",28.5,"29,633.10",69.6,24.2,0.5,0.7,2.4,2.6
BUSH,372,"84,018",28.5,"29,661.50",71.7,22.4,0.6,0.8,2.2,2.3
THORNTON,373,"83,967",28.5,"29,690.00",67.4,27.1,0.5,0.6,2.3,2.1
WOLFE,374,"83,928",28.5,"29,718.50",90.8,3.6,0.5,1.4,1.7,2.1
WARNER,375,"83,781",28.4,"29,746.90",84.2,10.2,0.7,0.6,1.9,2.4
CABRERA,376,"83,621",28.4,"29,775.20",4.5,0.4,3.5,0.1,0.5,91
MCKINNEY,377,"83,616",28.4,"29,803.50",68.8,25.2,0.4,0.9,2.4,2.3
MANN,378,"83,510",28.3,"29,831.90",80.4,9.9,3.6,1.3,2.1,2.7
ZIMMERMAN,379,"83,265",28.2,"29,860.10",93.8,2.3,0.5,0.3,1.2,1.9
DAWSON,380,"83,182",28.2,"29,888.30",68.3,25.9,0.6,0.6,2.3,2.3
LARA,381,"83,067",28.2,"29,916.40",5.7,0.4,1.1,0.3,0.2,92.3
FLETCHER,382,"83,063",28.2,"29,944.60",72.9,20.9,0.6,0.7,2.3,2.6
PAGE,383,"82,992",28.1,"29,972.70",75.1,18.9,0.7,0.7,2,2.6
MCCARTHY,384,"82,950",28.1,"30,000.90",92.3,3.3,0.7,0.3,1.3,2.2
LOVE,385,"82,873",28.1,"30,029.00",56.5,37,0.5,0.5,2.9,2.5
ROBLES,386,"82,458",28,"30,056.90",5.1,0.4,2.1,0.4,0.3,91.8
CERVANTES,387,"82,161",27.9,"30,084.80",3.3,0.2,0.9,0.2,0.1,95.3
SOLIS,388,"82,146",27.9,"30,112.60",5.1,0.4,1.6,0.2,0.2,92.4
ERICKSON,389,"82,085",27.8,"30,140.40",95.1,0.4,0.7,0.6,1.4,1.9
REEVES,390,"81,978",27.8,"30,168.20",77.3,16.5,0.6,0.8,2.1,2.7
CHANG,391,"81,939",27.8,"30,196.00",2.4,0.9,88.8,0,4.2,3.7
KLEIN,392,"81,471",27.6,"30,223.60",95.4,0.3,0.6,0.2,1.1,2.3
SALINAS,393,"81,156",27.5,"30,251.10",5.6,0.3,0.9,0.2,0.2,92.9
FUENTES,394,"81,006",27.5,"30,278.60",4.6,0.4,1.3,0.2,0.3,93.2
BALDWIN,395,"80,742",27.4,"30,306.00",76.9,17.3,0.5,0.9,2,2.4
DANIEL,396,"80,526",27.3,"30,333.30",62.8,25.6,3.2,0.7,2.2,5.6
SIMON,397,"80,460",27.3,"30,360.50",65.1,22.5,2.8,0.7,1.9,7.1
VELASQUEZ,398,"80,364",27.2,"30,387.80",4.8,0.7,1.7,0.4,0.2,92.2
HARDY,399,"80,252",27.2,"30,415.00",61.5,32.3,0.5,1.2,2.3,2.2
HIGGINS,400,"79,803",27.1,"30,442.10",83.9,10.8,0.6,0.6,1.9,2.3
AGUIRRE,401,"79,517",27,"30,469.00",5.1,0.3,1.3,0.2,0.3,92.9
LIN,402,"79,508",27,"30,496.00",1.7,0.2,95.9,0,1.8,0.5
CUMMINGS,403,"79,316",26.9,"30,522.90",72.5,19.7,0.7,2.3,2.3,2.5
CHANDLER,404,"79,186",26.8,"30,549.70",74.5,19.6,0.6,0.7,2.2,2.4
SHARP,405,"78,990",26.8,"30,576.50",83.6,10.6,0.6,1,1.9,2.3
BARBER,406,"78,848",26.7,"30,603.20",75.5,18.4,0.6,1,2.1,2.4
BOWEN,407,"78,822",26.7,"30,629.90",82.1,12,0.6,0.7,2,2.7
OCHOA,408,"78,677",26.7,"30,656.60",4.5,0.3,0.5,0.4,0.2,94.1
DENNIS,409,"78,482",26.6,"30,683.20",65.6,27.8,0.6,0.8,2.3,2.9
ROBBINS,410,"78,381",26.6,"30,709.80",87.6,7.2,0.5,0.9,1.7,2.1
LIU,411,"78,370",26.6,"30,736.30",1.8,0.2,95.6,0,1.9,0.5
RAMSEY,412,"78,350",26.6,"30,762.90",77.8,16.5,0.5,0.7,2,2.5
FRANCIS,413,"78,327",26.6,"30,789.50",59.5,30.3,2,2.1,2.4,3.8
GRIFFITH,414,"78,260",26.5,"30,816.00",83.9,10.4,0.6,0.7,1.9,2.6
PAUL,415,"78,256",26.5,"30,842.50",67,20.1,6.3,2.1,1.9,2.7
BLAIR,416,"78,026",26.5,"30,869.00",79.4,14.7,0.6,0.7,2.2,2.5
OCONNOR,417,"77,923",26.4,"30,895.40",92.8,2.1,0.8,0.3,1.4,2.6
CARDENAS,418,"77,652",26.3,"30,921.70",4.6,0.3,1,0.2,0.2,93.7
PACHECO,419,"77,642",26.3,"30,948.00",15.3,0.6,1.2,0.7,0.8,81.4
CROSS,420,"77,557",26.3,"30,974.30",75.5,18.3,0.6,0.9,2.3,2.5
CALDERON,421,"77,085",26.1,"31,000.50",5,0.6,1.5,0.2,0.3,92.6
QUINN,422,"76,986",26.1,"31,026.60",86.2,8.3,0.7,0.5,1.6,2.6
MOSS,423,"76,908",26.1,"31,052.60",69.7,24.7,0.5,0.7,2.1,2.3
SWANSON,424,"76,897",26.1,"31,078.70",90.4,4.8,0.7,0.5,1.5,2.1
CHAN,425,"76,664",26,"31,104.70",2.8,0.8,89.3,0.1,2.5,4.6
RIVAS,426,"76,205",25.8,"31,130.50",4.9,0.6,0.4,0.3,0.2,93.7
KHAN,427,"76,171",25.8,"31,156.30",6.9,3.9,81.3,0.5,5.3,2.2
RODGERS,428,"76,095",25.8,"31,182.10",70.2,23.8,0.5,0.6,2.2,2.7
SERRANO,429,"75,996",25.8,"31,207.90",5.6,0.7,2.9,0.1,0.3,90.3
FITZGERALD,430,"75,356",25.6,"31,233.40",86.3,8.8,0.7,0.3,1.7,2.2
ROSALES,431,"75,185",25.5,"31,258.90",3.6,0.3,2.4,0.2,0.3,93.2
STEVENSON,432,"75,169",25.5,"31,284.40",63.4,30.2,0.6,0.5,2.5,2.7
CHRISTENSEN,433,"75,143",25.5,"31,309.90",94.4,0.4,0.7,0.6,1.5,2.4
MANNING,434,"74,949",25.4,"31,335.30",73.9,20.3,0.6,0.8,2,2.4
GILL,435,"74,948",25.4,"31,360.70",65.2,14,13.4,0.6,2.1,4.7
CURRY,436,"74,919",25.4,"31,386.10",59.2,34.9,0.5,0.5,2.4,2.5
MCLAUGHLIN,437,"74,816",25.4,"31,411.50",88,7.1,0.6,0.5,1.4,2.4
HARMON,438,"74,737",25.3,"31,436.80",77.3,17,0.5,0.7,2.1,2.3
MCGEE,439,"74,542",25.3,"31,462.10",62.3,31.5,0.5,0.7,2.7,2.3
GROSS,440,"74,503",25.3,"31,487.30",84.9,10.3,0.5,0.3,1.5,2.5
DOYLE,441,"74,458",25.2,"31,512.60",89.1,5.7,0.7,0.5,1.7,2.4
GARNER,442,"74,324",25.2,"31,537.80",71.7,22.8,0.5,0.5,2.1,2.3
NEWTON,443,"74,092",25.1,"31,562.90",75.7,18.4,0.6,0.7,2.1,2.6
BURGESS,444,"73,931",25.1,"31,588.00",75.4,18.7,0.6,1,2.2,2.2
REESE,445,"73,919",25.1,"31,613.00",66.1,28.2,0.4,0.6,2.1,2.6
WALTON,446,"73,854",25,"31,638.00",60.4,34.2,0.4,0.5,2.4,2.1
BLAKE,447,"73,797",25,"31,663.10",71.2,22.6,0.6,0.8,2.1,2.7
TRUJILLO,448,"73,664",25,"31,688.00",8.4,0.2,0.3,1.6,0.4,89.1
ADKINS,449,"73,599",25,"31,713.00",87.2,8,0.4,0.8,1.8,1.7
BRADY,450,"73,145",24.8,"31,737.80",87.3,6.9,0.6,1,1.7,2.7
GOODMAN,451,"73,136",24.8,"31,762.60",78.3,15.8,0.6,1,1.8,2.4
ROMAN,452,"72,918",24.7,"31,787.30",20.8,1.9,1,0.2,0.5,75.7
WEBSTER,453,"72,625",24.6,"31,811.90",73.5,19.8,0.6,1.4,2.3,2.5
GOODWIN,454,"72,451",24.6,"31,836.50",77,17.2,0.5,0.9,2.1,2.3
FISCHER,455,"72,357",24.5,"31,861.00",94.3,0.9,0.6,0.4,1.2,2.6
HUANG,456,"72,328",24.5,"31,885.50",0.9,0.1,97.1,0,1.4,0.4
POTTER,457,"72,175",24.5,"31,910.00",89.1,5.1,0.6,0.8,2,2.5
DELACRUZ,458,"72,109",24.5,"31,934.40",3.9,0.4,16.8,0.2,1.5,77.2
MONTOYA,459,"71,844",24.4,"31,958.80",8.7,0.3,0.9,1.4,0.4,88.4
TODD,460,"71,759",24.3,"31,983.10",80.8,13.6,0.5,0.7,2.1,2.3
WU,461,"71,721",24.3,"32,007.40",1.4,0.2,96.4,0,1.6,0.5
HINES,462,"71,717",24.3,"32,031.80",57.7,36.7,0.5,0.5,2.3,2.3
MULLINS,463,"71,646",24.3,"32,056.00",88.8,6.9,0.4,0.5,1.8,1.7
CASTANEDA,464,"71,368",24.2,"32,080.20",4.1,0.2,1.8,0.2,0.3,93.4
MALONE,465,"71,286",24.2,"32,104.40",67.3,26.8,0.6,0.7,2.2,2.5
CANNON,466,"71,085",24.1,"32,128.50",69.8,24.5,0.5,0.5,2.3,2.4
TATE,467,"71,058",24.1,"32,152.60",55.6,38.3,0.6,0.8,2.5,2.1
MACK,468,"71,056",24.1,"32,176.70",44.8,49.1,0.7,0.5,2.6,2.4
SHERMAN,469,"70,502",23.9,"32,200.60",82.7,11.6,0.6,1,1.8,2.3
HUBBARD,470,"70,362",23.9,"32,224.40",71.1,23.2,0.5,0.9,2.3,2.2
HODGES,471,"70,223",23.8,"32,248.20",73.4,20.9,0.5,0.6,2.1,2.6
ZHANG,472,"70,125",23.8,"32,272.00",1,0.2,98.1,0,0.6,0.2
GUERRA,473,"70,071",23.8,"32,295.80",11.3,0.8,0.6,0.5,0.3,86.6
WOLF,474,"70,031",23.7,"32,319.50",93.7,1.1,0.6,1.1,1.5,2.2
VALENCIA,475,"70,000",23.7,"32,343.20",5.3,0.5,3.3,1.2,0.5,89.2
SAUNDERS,476,"69,943",23.7,"32,366.90",67.4,26.1,0.6,0.7,2.6,2.6
FRANCO,476,"69,943",23.7,"32,390.70",15.8,0.6,1.7,0.3,0.5,81
ROWE,478,"69,879",23.7,"32,414.30",79.3,15.1,0.6,0.6,2,2.5
GALLAGHER,479,"69,834",23.7,"32,438.00",94.6,0.7,0.6,0.3,1.3,2.5
FARMER,480,"69,617",23.6,"32,461.60",77.2,17.5,0.5,1.1,1.8,2.1
HAMMOND,481,"69,515",23.6,"32,485.20",78.2,16.1,0.6,0.7,2.2,2.2
HAMPTON,482,"69,472",23.6,"32,508.70",53.7,40.3,0.4,0.7,2.7,2.2
TOWNSEND,483,"69,360",23.5,"32,532.30",67.7,26.4,0.5,0.8,2.3,2.4
INGRAM,484,"69,345",23.5,"32,555.80",61.5,33,0.4,0.5,2.3,2.4
WISE,485,"68,649",23.3,"32,579.00",78.6,15.6,0.6,0.7,2.1,2.4
GALLEGOS,486,"68,373",23.2,"32,602.20",7.7,0.2,0.5,0.5,0.3,90.9
CLARKE,487,"68,281",23.2,"32,625.40",61,32.1,0.6,0.4,2.3,3.6
BARTON,488,"68,233",23.1,"32,648.50",85.1,8,0.6,1.3,1.9,3.1
SCHROEDER,489,"67,977",23,"32,671.50",95.4,0.3,0.6,0.5,1.1,2.1
MAXWELL,490,"67,961",23,"32,694.60",73.2,20.6,0.6,0.6,2.2,2.7
WATERS,491,"67,929",23,"32,717.60",73.4,20.7,0.6,0.9,2.1,2.4
LOGAN,492,"67,909",23,"32,740.60",64.8,27.3,0.7,1.1,2.9,3.2
CAMACHO,493,"67,893",23,"32,763.60",6.1,0.6,2.9,0.2,0.7,89.6
STRICKLAND,494,"67,769",23,"32,786.60",76.2,17.2,0.5,2.2,2,2
NORMAN,495,"67,704",23,"32,809.60",69,25.1,0.6,0.6,2.3,2.4
PERSON,496,"67,411",22.9,"32,832.40",45.6,34.5,4.1,1.1,1.8,12.9
COLON,497,"67,338",22.8,"32,855.20",7.6,1.9,0.3,0.1,0.3,89.8
PARSONS,498,"67,310",22.8,"32,878.10",91.1,3.6,0.6,0.7,1.8,2.3
FRANK,499,"67,304",22.8,"32,900.90",84.5,8,1,2.2,1.6,2.7
HARRINGTON,500,"66,959",22.7,"32,923.60",82,12.4,0.7,0.6,1.8,2.4
GLOVER,501,"66,858",22.7,"32,946.20",52.6,41.7,0.5,0.5,2.5,2.2
OSBORNE,502,"66,827",22.7,"32,968.90",82.3,12.4,0.5,0.7,2,2.2
BUCHANAN,503,"66,648",22.6,"32,991.50",77.4,17,0.6,0.6,2,2.4
CASEY,504,"66,556",22.6,"33,014.10",86.9,7.5,0.7,0.7,1.9,2.4
FLOYD,505,"66,454",22.5,"33,036.60",65.4,29.2,0.4,0.7,2.3,2
PATTON,506,"66,293",22.5,"33,059.10",73.1,20.9,0.5,0.9,2.3,2.4
IBARRA,507,"66,063",22.4,"33,081.50",3,0.2,1.2,0.1,0.2,95.3
BALL,508,"66,059",22.4,"33,103.90",82.3,12,1,0.6,1.8,2.4
TYLER,509,"66,056",22.4,"33,126.20",62,31,0.5,1.4,2.7,2.5
SUAREZ,510,"66,013",22.4,"33,148.60",6.8,0.6,2.1,0.1,0.3,90.1
BOWERS,511,"66,003",22.4,"33,171.00",83.4,11.5,0.5,0.6,1.7,2.3
OROZCO,512,"65,904",22.3,"33,193.30",3.4,0.2,0.4,0.2,0.1,95.8
SALAS,513,"65,468",22.2,"33,215.50",6.5,0.4,2.1,0.3,0.6,90.2
COBB,514,"65,125",22.1,"33,237.60",70,24.8,0.4,0.6,2.1,2
GIBBS,515,"65,064",22.1,"33,259.70",65.9,28.3,0.5,0.7,2.3,2.4
ANDRADE,516,"65,037",22.1,"33,281.70",15.4,3.2,1.6,0.3,1.3,78.2
BAUER,517,"65,004",22,"33,303.80",95.1,0.4,0.6,0.4,1.2,2.4
CONNER,518,"64,572",21.9,"33,325.60",78.6,16.2,0.5,0.6,2,2.2
MOODY,519,"64,429",21.8,"33,347.50",71.3,22.9,0.4,0.8,2,2.7
ESCOBAR,520,"64,403",21.8,"33,369.30",5.2,0.4,1.6,0.2,0.3,92.4
MCGUIRE,521,"64,327",21.8,"33,391.10",88,6.3,0.7,0.6,1.9,2.6
LLOYD,522,"64,202",21.8,"33,412.90",72.6,22.1,0.6,0.4,2,2.3
MUELLER,523,"64,191",21.8,"33,434.70",95.7,0.3,0.6,0.2,1.1,2
HARTMAN,524,"64,106",21.7,"33,456.40",93.9,1.6,0.7,0.5,1.3,2.1
FRENCH,525,"63,991",21.7,"33,478.10",85.8,8.1,0.7,1.1,1.9,2.5
KRAMER,526,"63,936",21.7,"33,499.80",95.4,0.3,0.6,0.3,1.2,2.2
MCBRIDE,527,"63,899",21.7,"33,521.40",74.3,19.9,0.4,0.8,2,2.6
POPE,528,"63,881",21.7,"33,543.10",70.8,23.8,0.5,0.6,2.1,2.2
LINDSEY,529,"63,760",21.6,"33,564.70",67.8,25.7,0.8,0.7,2.7,2.3
VELAZQUEZ,530,"63,736",21.6,"33,586.30",3.3,0.4,0.1,0.1,0.1,96
NORTON,531,"63,722",21.6,"33,607.90",87.8,6.6,0.6,1.2,1.8,2.1
MCCORMICK,532,"63,649",21.6,"33,629.50",87.3,7.6,0.6,0.4,1.6,2.5
SPARKS,533,"63,440",21.5,"33,651.00",84.2,10.4,0.4,0.7,2,2.2
FLYNN,534,"63,400",21.5,"33,672.50",91.9,3.1,0.7,0.6,1.5,2.3
YATES,535,"63,254",21.4,"33,693.90",80.6,14.1,0.5,0.5,2.1,2.3
HOGAN,536,"63,085",21.4,"33,715.30",80.1,14.4,0.5,0.6,1.8,2.5
MARSH,537,"62,304",21.1,"33,736.40",82.7,12,0.5,0.6,1.9,2.2
MACIAS,538,"62,227",21.1,"33,757.50",4.9,0.2,0.4,0.2,0.2,94.1
VILLANUEVA,539,"61,883",21,"33,778.50",4.3,0.4,12.3,0.3,1,81.8
ZAMORA,540,"61,729",20.9,"33,799.40",5.4,0.3,2.5,0.3,0.3,91.2
PRATT,541,"61,671",20.9,"33,820.30",78,15.7,0.6,1,2,2.6
STOKES,542,"61,639",20.9,"33,841.20",58.3,36,0.4,0.5,2.4,2.5
OWEN,543,"61,630",20.9,"33,862.10",91.8,2.4,0.7,0.9,1.7,2.5
BALLARD,544,"61,625",20.9,"33,883.00",75.3,19.2,0.4,0.8,2.1,2.2
LANG,545,"61,529",20.9,"33,903.90",81.4,10.4,3.3,0.6,1.8,2.5
BROCK,546,"61,369",20.8,"33,924.70",83,11.7,0.5,0.8,2,2
VILLARREAL,547,"61,355",20.8,"33,945.50",6.5,0.2,0.2,0.2,0.1,92.9
CHARLES,548,"61,211",20.8,"33,966.20",33.7,53,1,2.1,2.4,7.9
DRAKE,549,"61,162",20.7,"33,987.00",79.6,14.9,0.5,0.6,2,2.3
BARRERA,550,"60,998",20.7,"34,007.60",5,0.3,1.1,0.2,0.2,93.2
CAIN,551,"60,948",20.7,"34,028.30",77.2,17,0.8,0.6,2.1,2.3
PATRICK,552,"60,845",20.6,"34,048.90",73.7,20.4,0.7,1,2,2.2
PINEDA,553,"60,820",20.6,"34,069.50",3.3,0.3,5.3,0.1,0.3,90.7
BURNETT,554,"60,791",20.6,"34,090.20",69.9,24.1,0.4,0.7,2.5,2.4
MERCADO,555,"60,761",20.6,"34,110.80",5.2,0.6,6.9,0.1,0.6,86.6
SANTANA,556,"60,667",20.6,"34,131.30",6.1,1.3,0.5,0.1,0.3,91.6
SHEPHERD,557,"60,479",20.5,"34,151.80",78.6,15.9,0.5,0.9,2,2
BAUTISTA,558,"60,264",20.4,"34,172.30",3.2,0.3,18.2,0.3,1.3,76.8
ALI,559,"60,002",20.3,"34,192.60",17.3,30.7,42.9,0.5,5.7,2.9
SHAFFER,560,"59,943",20.3,"34,212.90",93.1,2.5,0.6,0.4,1.5,1.9
LAMB,561,"59,913",20.3,"34,233.20",86.1,8.6,0.7,0.5,1.7,2.3
TREVINO,562,"59,882",20.3,"34,253.50",7.8,0.3,0.2,0.4,0.2,91.1
MCKENZIE,563,"59,595",20.2,"34,273.70",64.6,28.6,0.7,0.7,2.3,3
HESS,564,"59,486",20.2,"34,293.90",94.6,0.9,0.6,0.5,1.4,2
BEIL,565,"59,463",20.2,"34,314.10",62.1,32.1,0.3,0.9,2.3,2.3
OLSEN,566,"59,356",20.1,"34,334.20",93.7,0.3,0.8,0.8,1.8,2.7
COCHRAN,567,"59,350",20.1,"34,354.30",85.3,9.1,0.5,1.2,1.7,2.2
MORTON,568,"59,213",20.1,"34,374.40",74,19.7,0.7,0.9,2.3,2.5
NASH,569,"58,714",19.9,"34,394.30",69.3,24.6,0.5,0.8,2.4,2.3
WILKINS,570,"58,634",19.9,"34,414.20",63.1,30.6,0.4,0.9,2.4,2.7
PETERSEN,571,"58,480",19.8,"34,434.00",93.4,1.3,0.8,0.4,1.6,2.5
BRIGGS,572,"58,408",19.8,"34,453.80",75.9,18.6,0.5,0.7,2.1,2.2
SHAH,573,"58,287",19.8,"34,473.50",3.6,0.9,91.7,0.3,2.7,0.7
ROTH,574,"58,278",19.8,"34,493.30",94.9,0.5,0.9,0.3,1.2,2.3
NICHOLSON,575,"58,151",19.7,"34,513.00",74.3,19.9,0.5,0.6,2.2,2.5
HOLLOWAY,576,"58,040",19.7,"34,532.70",58.3,36.1,0.4,0.6,2.5,2.1
LOZANO,577,"57,779",19.6,"34,552.30",6,0.3,1.6,0.2,0.3,91.7
RANGEL,578,"57,549",19.5,"34,571.80",6,0.3,0.3,0.2,0.2,93
FLOWERS,578,"57,549",19.5,"34,591.30",53.1,40.3,0.4,0.6,2.8,2.8
HOOVER,580,"57,497",19.5,"34,610.80",92,3.4,0.6,0.6,1.5,1.9
SHORT,581,"57,477",19.5,"34,630.30",84.1,10.2,0.6,0.9,2,2.2
ARIAS,581,"57,477",19.5,"34,649.80",5.1,0.4,1.1,0.1,0.2,93.1
MORA,583,"57,464",19.5,"34,669.20",7.4,0.5,1.1,0.3,0.3,90.6
VALENZUELA,584,"57,383",19.5,"34,688.70",5,0.2,2.4,1.7,0.4,90.4
BRYAN,585,"57,143",19.4,"34,708.10",81.3,11.8,0.6,0.6,1.8,3.8
MEYERS,586,"57,127",19.4,"34,727.40",89.8,4.6,0.8,0.6,1.8,2.4
WEISS,587,"57,112",19.4,"34,746.80",95.6,0.4,0.7,0.2,1,2.2
UNDERWOOD,588,"57,064",19.4,"34,766.10",79.2,15,0.5,1.1,2,2.2
BASS,589,"57,044",19.3,"34,785.50",69.2,24.5,0.5,0.8,2.3,2.7
