"","numberPerDocket","numberOfCommentsReceived","organization","submitterName","title","commentText","docketTitle"
"536",1683384,1649,NA,NA,"Mass comment campaign sponsored by American Lung Association (ALA). Sample attached (email)","See attached","Repeal of Carbon Dioxide Emission Guidelines for Existing Stationary Sources: Electric Utility Generating Units; Emission Guidelines for Greenhouse Gas Emissions from Existing Electric Utility Generating Units; Revisions to Emission Guideline Implementing Regulations; Revisions to New Source Review Program"
"537",1683384,1526,NA,NA,"Mass comment campaign sponsoring organization unknown. Sample attached (email)","See attached","Repeal of Carbon Dioxide Emission Guidelines for Existing Stationary Sources: Electric Utility Generating Units; Emission Guidelines for Greenhouse Gas Emissions from Existing Electric Utility Generating Units; Revisions to Emission Guideline Implementing Regulations; Revisions to New Source Review Program"
"538",1683384,288,NA,NA,"Mass comment campaign sponsoring organization unknown. Sample attached (email)","See attached","Repeal of Carbon Dioxide Emission Guidelines for Existing Stationary Sources: Electric Utility Generating Units; Emission Guidelines for Greenhouse Gas Emissions from Existing Electric Utility Generating Units; Revisions to Emission Guideline Implementing Regulations; Revisions to New Source Review Program"
"539",1683384,1534,NA,NA,"Mass comment campaign sponsored by Americans for Prosperity (AFP). Sample attached (email)","See attached","Repeal of Carbon Dioxide Emission Guidelines for Existing Stationary Sources: Electric Utility Generating Units; Emission Guidelines for Greenhouse Gas Emissions from Existing Electric Utility Generating Units; Revisions to Emission Guideline Implementing Regulations; Revisions to New Source Review Program"
"540",1683384,688,NA,NA,"Mass comment campaign sponsoring organization unknown. Sample attached (email)","See attached","Repeal of Carbon Dioxide Emission Guidelines for Existing Stationary Sources: Electric Utility Generating Units; Emission Guidelines for Greenhouse Gas Emissions from Existing Electric Utility Generating Units; Revisions to Emission Guideline Implementing Regulations; Revisions to New Source Review Program"
"541",1683384,26105,NA,NA,"Mass comment campaign sponsored by Care2. Sample attached (email)","See attached","Repeal of Carbon Dioxide Emission Guidelines for Existing Stationary Sources: Electric Utility Generating Units; Emission Guidelines for Greenhouse Gas Emissions from Existing Electric Utility Generating Units; Revisions to Emission Guideline Implementing Regulations; Revisions to New Source Review Program"
"542",1683384,264,NA,NA,"Mass comment campaign sponsored by National Wildlife Federation (NWF) (web)","See attached file(s)","Repeal of Carbon Dioxide Emission Guidelines for Existing Stationary Sources: Electric Utility Generating Units; Emission Guidelines for Greenhouse Gas Emissions from Existing Electric Utility Generating Units; Revisions to Emission Guideline Implementing Regulations; Revisions to New Source Review Program"
"543",1683384,144,NA,NA,"Mass comment campaign sponsoring organization unknown. Sample attached (email)","See attached","Repeal of Carbon Dioxide Emission Guidelines for Existing Stationary Sources: Electric Utility Generating Units; Emission Guidelines for Greenhouse Gas Emissions from Existing Electric Utility Generating Units; Revisions to Emission Guideline Implementing Regulations; Revisions to New Source Review Program"
"544",1683384,1508,NA,NA,"Mass comment campaign sponsoring organization unknown. Sample attached (email)","See attached","Repeal of Carbon Dioxide Emission Guidelines for Existing Stationary Sources: Electric Utility Generating Units; Emission Guidelines for Greenhouse Gas Emissions from Existing Electric Utility Generating Units; Revisions to Emission Guideline Implementing Regulations; Revisions to New Source Review Program"
"545",1683384,169,NA,NA,"Mass comment campaign sponsored by Environmental Defense Fund (EDF). Sample attached (email)","See attached","Repeal of Carbon Dioxide Emission Guidelines for Existing Stationary Sources: Electric Utility Generating Units; Emission Guidelines for Greenhouse Gas Emissions from Existing Electric Utility Generating Units; Revisions to Emission Guideline Implementing Regulations; Revisions to New Source Review Program"
"546",1683384,42517,NA,NA,"Mass comment campaign sponsored by World Wildlife Fund. Sample attached (email)","See attached","Repeal of Carbon Dioxide Emission Guidelines for Existing Stationary Sources: Electric Utility Generating Units; Emission Guidelines for Greenhouse Gas Emissions from Existing Electric Utility Generating Units; Revisions to Emission Guideline Implementing Regulations; Revisions to New Source Review Program"
"547",1683384,16934,NA,NA,"Mass comment campaign sponsored by National Parks Conservation Association (NPCA). Sample attached (email)","See attached","Repeal of Carbon Dioxide Emission Guidelines for Existing Stationary Sources: Electric Utility Generating Units; Emission Guidelines for Greenhouse Gas Emissions from Existing Electric Utility Generating Units; Revisions to Emission Guideline Implementing Regulations; Revisions to New Source Review Program"
"548",1683384,298,NA,NA,"Mass comment campaign sponsoring organization unknown. Sample attached (email)","See attached","Repeal of Carbon Dioxide Emission Guidelines for Existing Stationary Sources: Electric Utility Generating Units; Emission Guidelines for Greenhouse Gas Emissions from Existing Electric Utility Generating Units; Revisions to Emission Guideline Implementing Regulations; Revisions to New Source Review Program"
"549",1683384,4593,NA,NA,"Mass comment campaign sponsoring organization unknown. Sample attached (email)","See attached","Repeal of Carbon Dioxide Emission Guidelines for Existing Stationary Sources: Electric Utility Generating Units; Emission Guidelines for Greenhouse Gas Emissions from Existing Electric Utility Generating Units; Revisions to Emission Guideline Implementing Regulations; Revisions to New Source Review Program"
"550",1683384,114,NA,NA,"Mass comment campaign sponsored by Environmental Defense Fund (EDF). Sample attached (email)","See attached","Repeal of Carbon Dioxide Emission Guidelines for Existing Stationary Sources: Electric Utility Generating Units; Emission Guidelines for Greenhouse Gas Emissions from Existing Electric Utility Generating Units; Revisions to Emission Guideline Implementing Regulations; Revisions to New Source Review Program"
"551",1683384,148,NA,NA,"Mass comment campaign sponsoring organization unknown. Sample attached (email)","See attached","Repeal of Carbon Dioxide Emission Guidelines for Existing Stationary Sources: Electric Utility Generating Units; Emission Guidelines for Greenhouse Gas Emissions from Existing Electric Utility Generating Units; Revisions to Emission Guideline Implementing Regulations; Revisions to New Source Review Program"
"552",1683384,320,NA,NA,"Mass comment campaign sponsored by All Saints Church. Sample attached (paper)","See attached","Repeal of Carbon Dioxide Emission Guidelines for Existing Stationary Sources: Electric Utility Generating Units; Emission Guidelines for Greenhouse Gas Emissions from Existing Electric Utility Generating Units; Revisions to Emission Guideline Implementing Regulations; Revisions to New Source Review Program"
"553",1678211,163,NA,NA,"Mass comment campaign sponsoring organization unknown. Sample attached (email)","See attached","Oil and Natural Gas Sector -- New Source Performance Standards, National Emission Standards for Hazardous Air Pollutants, and Control Techniques Guidelines"
"554",1678211,795,NA,NA,"Mass comment campaign sponsoring organization unknown. Sample attached (email)","See attached","Oil and Natural Gas Sector -- New Source Performance Standards, National Emission Standards for Hazardous Air Pollutants, and Control Techniques Guidelines"
"555",1678211,9756,NA,NA,"Mass Comment Campaign sponsored by Green America (email)","See Attached","Oil and Natural Gas Sector -- New Source Performance Standards, National Emission Standards for Hazardous Air Pollutants, and Control Techniques Guidelines"
"556",1678211,338,NA,NA,"Mass Comment Campaign sponsoring organization unknown. Sample attached (email)","See attached","Oil and Natural Gas Sector -- New Source Performance Standards, National Emission Standards for Hazardous Air Pollutants, and Control Techniques Guidelines"
"557",1678211,3313,NA,NA,"Mass Comment Campaign sponsoring organization unknown (email)","See Attached","Oil and Natural Gas Sector -- New Source Performance Standards, National Emission Standards for Hazardous Air Pollutants, and Control Techniques Guidelines"
"558",1678211,125,NA,NA,"Mass Comment Campaign sponsoring organization unknown. Sample attached (email)","See attached","Oil and Natural Gas Sector -- New Source Performance Standards, National Emission Standards for Hazardous Air Pollutants, and Control Techniques Guidelines"
"559",1678211,76373,NA,NA,"Mass Comment Campaign sponsored by Environmental Defense Fund (EDF) (web)","To Whom It May Concern: 

Attached are two documents containing the signatures of 75,366 Environmental Defense Fund supporters from across the country who have submitted electronic comments regarding EPA's Proposed Rule: Oil and Natural Gas Sector; Emission Standards for New, Reconstructed, and Modified Sources: Stay of Certain Requirements. The comment they each submitted reads: 

""I'm writing today in strong opposition to your proposal to suspend vital air pollution safeguards that will reduce harmful methane, smog-forming volatile organic compounds, and toxic air pollutants like benzene from new and modified sources in the oil and natural gas sector. 

This decision threatens the health and welfare of countless Americans who live in close proximity to oil and gas development by allowing thousands of tons of these harmful air pollutants to be emitted into the atmosphere. Each day this suspension is in place, the harm will be compounded: more new wells are drilled and other wells subject to the standards are allowed to continue emitting harmful pollution, which cannot later be removed from the air.

These common-sense safeguards are also highly cost-effective, leveraging widely used technologies and best practices that are already required in several energy-producing states.  They were also developed through extensive public input and years of agency deliberation. There is no basis for EPA to suspend these safeguards. 

Please reverse this unlawful, dangerous decision, and ensure these crucial pollution safeguards are put into action.""

Please let me know if you have any additional questions or concerns about this submission. 

Thank you for your consideration, 

Heather Shelby
Manager, Grassroots Organizing & Activism
Environmental Defense Fund
hshelby@edf.org
","Oil and Natural Gas Sector -- New Source Performance Standards, National Emission Standards for Hazardous Air Pollutants, and Control Techniques Guidelines"
"560",1678211,9741,NA,NA,"Mass Comment Campaign sponsoring organization unknown. Sample attached (email)","See Attached","Oil and Natural Gas Sector -- New Source Performance Standards, National Emission Standards for Hazardous Air Pollutants, and Control Techniques Guidelines"
"561",1678211,156,NA,NA,"Mass Comment Campaign sponsored by Earthworks et al. (email)","See Attached","Oil and Natural Gas Sector -- New Source Performance Standards, National Emission Standards for Hazardous Air Pollutants, and Control Techniques Guidelines"
"562",1678211,2303,NA,NA,"Mass Comment Campaign sponsored by Defend Our Future (web)","I am submitting 2,304 signatures on behalf of Defend Our Future. All signatories echo the below statement: 

""I'm writing today in strong opposition to your decision to suspend vital air pollution safeguards that will reduce harmful methane, smog-forming volatile organic compounds, and toxic air pollutants like benzene from new and modified sources in the oil and natural gas sector. 

This decision threatens the health and welfare of countless Americans who live in close proximity to oil and gas development by allowing thousands of tons of these harmful air pollutants to be emitted into the atmosphere. Each day this suspension is in place, the harm is compounded: more new wells are drilled and other wells subject to the standards are allowed to continue emitting harmful pollution, which cannot later be removed from the air.

These common-sense safeguards are also highly cost-effective, leveraging widely used technologies and best practices that are already required in several energy-producing states.  They were also developed through extensive public input and years of agency deliberation. There is no basis for EPA to suspend these safeguards. 

Please reverse this unlawful, dangerous decision, and put these crucial pollution safeguards back into action.""","Oil and Natural Gas Sector -- New Source Performance Standards, National Emission Standards for Hazardous Air Pollutants, and Control Techniques Guidelines"
"563",1678211,3602,NA,NA,"Mass comment campaign sponsoring organization unknown (email)","See attached","Oil and Natural Gas Sector -- New Source Performance Standards, National Emission Standards for Hazardous Air Pollutants, and Control Techniques Guidelines"
"564",1678211,17735,NA,NA,"Mass comment campaign sponsored by National Wildlife Federation Action Fund (web)","Attached are individual comments from 17,735 National Wildlife Federation Action Fund supporters from across the country, urging the Environmental Protection Agency to withdraw the methane rule suspension and immediately begin putting it into effect. Specifically:

I am deeply concerned that the Environmental Protection Agency is proposing to delay implementation of key parts of the methane new and modified source rule for two years, and may be seeking to permanently undo the rule entirely.  I urge you to withdraw this proposed suspension and immediately begin putting the methane rule into effect.

Methane is a super-pollutant that speeds climate change in the short-term, imperiling pronghorn and other wildlife and special places that are important to me and to our nation as a whole.  The oil and gas industry is the single largest source of this pollution in the U.S., and companies are not doing enough to keep excessive methane pollution from flaring and leaking into the atmosphere.  Also, toxic and smog-forming pollution is released along with the methane pollution, making local pollution problems worse and threatening my family's health.

As Administrator of the Environmental Protection Agency, your duty is to protect public health and welfare and the environment from undue harm. My family, wildlife, and natural treasures should not have to pay the price for pollution that could be reduced by a more responsible industry. EPA sometimes has to press industry to clean up, and this is one of those times.

I urge you to withdraw the methane rule suspension and immediately begin putting it into effect.
","Oil and Natural Gas Sector -- New Source Performance Standards, National Emission Standards for Hazardous Air Pollutants, and Control Techniques Guidelines"
"565",1678211,468,NA,NA,"Mass Comment Campaign sponsored by BlueGreen Alliance (email)","See Attached","Oil and Natural Gas Sector -- New Source Performance Standards, National Emission Standards for Hazardous Air Pollutants, and Control Techniques Guidelines"
"566",1678211,55163,NA,NA,"Mass comment campaign sponsored by Sierra Club (web)","August 9, 2017 

Mass Comment Campaign of the Sierra Club
RE: Docket EPA-HQ-OAR-2010-0505-7736

To Whom It May Concern:

The attached document contains comments collected from 55,162 activists from across the country. Each has submitted electronic comments on the EPA's proposed stay of certain requirements of methane rules for the oil and natural gas sector. More than 47,710 have submitted the quoted text below. Please note that 7,452 people have taken the time to write a personalized comment in addition to the quoted text below; these individual additions are noted in the attached document. 

""I oppose any delay in the implementation of methane pollution standards. Staying these protections will put our environment and public health at risk. If anything, the EPA should strengthen methane pollution safeguards. We depend on the EPA to protect us from harmful pollution that makes it harder to breathe, aggravates asthma, and fills our air with toxic compounds. The EPA must fulfill its mission to ""protect human health and the environment"" by maintaining and enforcing these standards and protecting our children's health. EPA has an obligation to protect all Americans from harmful methane pollution. Any attempt to slow or dismantle standards that cut pollution from the oil and gas industry is a direct assault on our health.""

Sincerely,

Matthew Gravatt
Associate Director, Federal and Administrative Advocacy
Sierra Club
","Oil and Natural Gas Sector -- New Source Performance Standards, National Emission Standards for Hazardous Air Pollutants, and Control Techniques Guidelines"
"567",1678211,361,NA,NA,"Mass Comment Campaign sponsored by WORC (email)","See Attached","Oil and Natural Gas Sector -- New Source Performance Standards, National Emission Standards for Hazardous Air Pollutants, and Control Techniques Guidelines"
"568",1678211,1418,NA,NA,"Mass comment campaign sponsoring organization unknown (web)","I am submitting the attached 1,418 comments on Docket EPA-HQ-OAR-2010-0505 collected by the Power Shift Network, a 501(c)3 nonprofit organization. The commenters represented in the attachment all wish to submit the text of the comment included below (also in the attachment), in addition to further personal comments many added to their submission. 

Please don't hesitate to contact Devyn Powell at devyn@powershift.org if any questions or issues arise.

-------

Comment text:

Docket ID: EPA-HQ-OAR-2010-0505 

I strongly oppose the EPA's proposal to delay the implementation of critical methane pollution standards. The EPA should be leading efforts to protect our planet and our health, not rolling back important regulations on oil and gas industry pollution.

The EPA's mission is to protect human health and the environment -- not corporate polluters' profits. It is especially indefensible that the EPA would propose this order when the agency has even admitted that ""the environmental health or safety risk addressed by this action may have a disproportionate effect on children.""

It is EPA's obligation to protect all Americans from harmful pollution like methane. This attempt to dismantle standards that protect us from oil and a gas industry pollution is nothing less than a direct assault on our health and environment. EPA stands for Environmental Protection Agency, not Environmental Pollution Agency. Please fulfill your mission and keep this important methane rule in place.","Oil and Natural Gas Sector -- New Source Performance Standards, National Emission Standards for Hazardous Air Pollutants, and Control Techniques Guidelines"
"569",1678211,1336,NA,NA,"Mass comment campaign sponsored by Clean Water Action (CWA) (web)","On behalf of Clean Water Action, we are submitting comments from more than 1200 Clean Water Action members across the country, opposing this move to delay the implementation of methane pollution standards. Rather than stay these critical protections for any amount of time, we need EPA to strengthen methane pollution safeguards.

Americans depend on EPA to protect us from the harmful pollution that makes it harder to breathe - and the corporate polluters who profit from it. We need EPA to fulfill its mission to ""protect human health and the environment"" by not letting corporate polluters play fast and loose with our children's health.

It is EPA's obligation to protect all Americans from harmful methane pollution. Any attempt to slow or dismantle standards that cut pollution from the oil and a gas industry is a direct assault on our health and environment - and the Environmental Protection Agency should not be complicit.

Sincerely, 
John Nol
National Oil and Gas Campaigns Coordinator
Clean Water Action","Oil and Natural Gas Sector -- New Source Performance Standards, National Emission Standards for Hazardous Air Pollutants, and Control Techniques Guidelines"
"570",1678211,453,NA,NA,"Mass comment campaign sponsoring organization unknown. Sample attached (email)","See Attached","Oil and Natural Gas Sector -- New Source Performance Standards, National Emission Standards for Hazardous Air Pollutants, and Control Techniques Guidelines"
"571",1678211,35156,NA,NA,"Mass comment campaign sponsored by Earthjustice (web)","Attached below are the names of 35,156 individuals who have submitted public comments opposing any delay in the implementation of methane pollution standards. In addition to signing on in support of the following letter, 7,834 individuals of the total number have submitted personalized comments. The personalized comments start on page 2 and end on page 397.

Enforce the methane pollution standards that keep our air clean and our families safe and health (Re: EPA-HQ-OAR-2010-0505-7736)

Dear Administrator Pruitt,

I oppose this move to delay the implementation of methane pollution standards. Rather than stay these critical protections for any amount of time, we need the EPA to strengthen methane pollution safeguards.

Americans depend on the EPA to protect us from the harmful pollution that makes it harder to breathe and the corporate polluters who profit from it. We need the EPA to fulfill its mission to ""protect human health and the environment"" by not letting corporate polluters play fast and loose with our children's health.

Leaks from shoddy, broken equipment are among the largest sources of methane and other harmful pollutants from oil and gas facilities. But the leak detection and repair standards in this rule will deliver up to 45 percent of target reductions in smog- and soot-forming volatile organic compounds and nearly all target reductions in hazardous air pollutants such as cancer-causing benzene and formaldehyde.

Delaying this rule will irreparably harm millions of Americans who live in close proximity to the more than 18,000 new and modified wells--more than 11,000 of which are located in states that do not impose their own comparable leak detection and repair programs.

It is the EPA's obligation to protect all Americans from harmful methane pollution. Any attempt to slow or dismantle standards that reduce pollution emitted from the oil and gas industry is a direct assault on our health and environment and the Environmental Protection Agency should not be complicit.

Sincerely,

The Undersigned
","Oil and Natural Gas Sector -- New Source Performance Standards, National Emission Standards for Hazardous Air Pollutants, and Control Techniques Guidelines"
"572",1678211,141,NA,NA,"Mass comment campaign sponsored by Northern Plains (web)","See attached file(s)","Oil and Natural Gas Sector -- New Source Performance Standards, National Emission Standards for Hazardous Air Pollutants, and Control Techniques Guidelines"
"573",1678211,3598,NA,NA,"Mass Comment Campaign sponsored by Environmental Evangelical Network (web)","Environmental Evangelical Network is submitting letters from Pro-Life voters from the state Georgia, Missouri and North Carolina.","Oil and Natural Gas Sector -- New Source Performance Standards, National Emission Standards for Hazardous Air Pollutants, and Control Techniques Guidelines"
"574",1678211,359,NA,NA,"Mass Comment Campaign sponsored by Evangelical Environmental Network (web)","See attached file(s)","Oil and Natural Gas Sector -- New Source Performance Standards, National Emission Standards for Hazardous Air Pollutants, and Control Techniques Guidelines"
"575",1678211,281,NA,NA,"Mass Comment Campaign sponsored by Evangelical Environmental Network (web)","See attached file(s)","Oil and Natural Gas Sector -- New Source Performance Standards, National Emission Standards for Hazardous Air Pollutants, and Control Techniques Guidelines"
"576",1678211,108,NA,NA,"Mass Comment Campaign sponsored by Conservation Voters of New Mexico. Sample attached (paper)","See Attached","Oil and Natural Gas Sector -- New Source Performance Standards, National Emission Standards for Hazardous Air Pollutants, and Control Techniques Guidelines"
"577",1678211,1804,NA,NA,"Mass Comment Campaign sponsored by Evangelical Environmental Network (web)","See attached file(s)","Oil and Natural Gas Sector -- New Source Performance Standards, National Emission Standards for Hazardous Air Pollutants, and Control Techniques Guidelines"
"578",1678211,11666,NA,NA,"Mass comment campaign sponsored by Moms Clean Air Force (web)","Attached are 11,667 signatures from Moms Clean Air Force members, echoing the below message: 

""I am writing today in strong opposition to your proposal to suspend vital air pollution safeguards that will reduce harmful methane, smog-forming volatile organic compounds, and toxic air pollutants like benzene from new and modified sources in the oil and natural gas sector. 

As a parent and a member of Moms Clean Air Force, I am concerned about how pollution from the oil and gas industry affects children's health. Methane leaks make smog worse, contribute to global climate change, and waste money. And where methane is leaking, so are carcinogenic compounds like benzene and other VOCs. I don't want those in the air our kids breathe.
 
The health-protective methane standards were developed through extensive public input and years of agency deliberation. There is no basis for EPA to suspend these safeguards. We need the EPA to fulfill its mission to ""protect human health and the environment"" by not letting corporate polluters play fast and loose with our children's health.

Please reconsider this dangerous proposal, and ensure these crucial pollution safeguards remain in place.""
","Oil and Natural Gas Sector -- New Source Performance Standards, National Emission Standards for Hazardous Air Pollutants, and Control Techniques Guidelines"
"579",1678211,286,NA,NA,"Mass Comment Campaign sponsored by Evangelical Environmental Network (web)","See attached file(s)","Oil and Natural Gas Sector -- New Source Performance Standards, National Emission Standards for Hazardous Air Pollutants, and Control Techniques Guidelines"
"580",1678211,267,NA,NA,"Mass comment campaign sponsored by United Methodist Women (UMW) (web)","August 7, 2017  

 Administrator E. Scott Pruitt  
Office of the Administrator, Code 1101A 
 Environmental Protection Agency 
1200 Pennsylvania Avenue, N.W. 
 Washington, DC 20460    

Dear Administrator Pruitt,   

EPA Proposed Rule: Oil and Natural Gas Sector; Emission Standards for New, Reconstructed, and Modified Sources: 
Stay of Certain Requirements  Docket # EPA-HQ-OAR-2010-0505 

I am writing on behalf of United Methodist Women (UMW), the largest denominational faith-based organization for women with
approximately 800,000 members, to oppose EPA's proposed two-year stay, and any stay of any duration, of the new source
performance standards for the oil and gas sector, 40 C.F.R. subpart OOOOa.  
 
We appreciate the opportunity to submit public comments, and United Methodist Women nation-wide have expressed their
opposition to the two-year or postponement of the June 2016 rule that requires manufactures of natural gas and oil to adhere 
to strict performance standards on ""fugitive emissions"" at well sites and compressor stations and emissions from pneumatic
pumps.  Attached are individual letters from United Methodists Women members and friends that were compiled through our
web portal.  

We strongly urge you to adhere to the rule's requirements and not attempt to stay those provisions.  
 
You can contact Elizabeth Lee to further discuss this request. Please see contact information below.     

Respectfully submitted on behalf of United Methodist Women,   

Elizabeth Chun Hye Lee 
Executive for Economic and Environmental Justice 
Christian Social Action 
United Methodist Women United Methodist Office for the United Nations |
Church Center for the UN 777 United Nations Plaza, 11th Floor | 
New York, NY 10017 (T): 212-878-7814 | (F): 212-682-5354
http://www.unitedmethodistwomen.org
Email: elee@unitedmethodistwomen.org    
 ","Oil and Natural Gas Sector -- New Source Performance Standards, National Emission Standards for Hazardous Air Pollutants, and Control Techniques Guidelines"
"581",1678211,490,NA,NA,"Mass Comment Campaign sponsored by The Evangelical Environmental Network (web)","See attached file(s)","Oil and Natural Gas Sector -- New Source Performance Standards, National Emission Standards for Hazardous Air Pollutants, and Control Techniques Guidelines"
"582",1678211,710,NA,NA,"Mass Comment Campaign sponsored by Evangelical Environmental Network (web)","See attached file(s)","Oil and Natural Gas Sector -- New Source Performance Standards, National Emission Standards for Hazardous Air Pollutants, and Control Techniques Guidelines"
"583",1678211,112,NA,NA,"Mass Comment Campaign sponsored by Sierra Club. Sample attached (paper)","See Attached","Oil and Natural Gas Sector -- New Source Performance Standards, National Emission Standards for Hazardous Air Pollutants, and Control Techniques Guidelines"
"584",1678211,290,NA,NA,"Mass Comment Campaign sponsored by The Evangelical Environmental Network (web)","See attached file(s)","Oil and Natural Gas Sector -- New Source Performance Standards, National Emission Standards for Hazardous Air Pollutants, and Control Techniques Guidelines"
"585",1678211,330,NA,NA,"Mass Comment Campaign sponsored by Evangelical Environmental Network (web)","See attached file(s)","Oil and Natural Gas Sector -- New Source Performance Standards, National Emission Standards for Hazardous Air Pollutants, and Control Techniques Guidelines"
"586",1678211,185,NA,NA,"Mass Comment Campaign sponsored by Evangelical Environmental Network (web)","See attached file(s)","Oil and Natural Gas Sector -- New Source Performance Standards, National Emission Standards for Hazardous Air Pollutants, and Control Techniques Guidelines"
"587",1678211,5321,NA,NA,"Mass Comment Campaign sponsored by The Evangelical Environmental Network (web)","Attached are tens of thousands of individual letters from Pro-Life Christians opposed to the stay.","Oil and Natural Gas Sector -- New Source Performance Standards, National Emission Standards for Hazardous Air Pollutants, and Control Techniques Guidelines"
"588",1678211,44895,NA,NA,"Mass comment campaign sponsored by Natural Resources Defense Council (NRDC) (web)","Please accept these public comments from 44,895 online members and activists on behalf on the Natural Resources Defense Council (NRDC) regarding EPA-HQ-OAR-2010-0505 in support of strong methane pollution protections. These pollution protections are critical safeguards for the health and safety of communities across the country and delaying them gives oil and gas companies a free pass to pollute. You must immediately enforce the lifesaving methane protections that are on the books and protect American's right to clean, healthy air. Thank you. ","Oil and Natural Gas Sector -- New Source Performance Standards, National Emission Standards for Hazardous Air Pollutants, and Control Techniques Guidelines"
"589",1678211,500,NA,NA,"Mass Comment Campaign sponsored by Evangelical Environmental Network (web)","See attached file(s)","Oil and Natural Gas Sector -- New Source Performance Standards, National Emission Standards for Hazardous Air Pollutants, and Control Techniques Guidelines"
"590",1678211,664,NA,NA,"Mass Comment Campaign sponsored by Evangelical Environmental Network (web)","See attached file(s)","Oil and Natural Gas Sector -- New Source Performance Standards, National Emission Standards for Hazardous Air Pollutants, and Control Techniques Guidelines"
"591",1678211,483,NA,NA,"Mass Comment Campaign sponsored by The Evangelical Environmental Network (web)","See attached file(s)","Oil and Natural Gas Sector -- New Source Performance Standards, National Emission Standards for Hazardous Air Pollutants, and Control Techniques Guidelines"
"592",1678211,305,NA,NA,"Mass Comment Campaign sponsored by Evangelical Environmental Network (web)","See attached file(s)","Oil and Natural Gas Sector -- New Source Performance Standards, National Emission Standards for Hazardous Air Pollutants, and Control Techniques Guidelines"
"593",1678211,438,NA,NA,"Mass Comment Campaign sponsored by Evangelical Environmental Network (web)","See attached file(s)","Oil and Natural Gas Sector -- New Source Performance Standards, National Emission Standards for Hazardous Air Pollutants, and Control Techniques Guidelines"
"594",1678211,259,NA,NA,"Mass Comment Campaign sponsored by Evangelical Environmental Network (web)","See attached file(s)","Oil and Natural Gas Sector -- New Source Performance Standards, National Emission Standards for Hazardous Air Pollutants, and Control Techniques Guidelines"
"595",1678211,569,NA,NA,"Mass Comment Campaign sponsored by Evangelical Environmental Network (web)","See attached file(s)","Oil and Natural Gas Sector -- New Source Performance Standards, National Emission Standards for Hazardous Air Pollutants, and Control Techniques Guidelines"
"596",1678211,387,NA,NA,"Mass Comment Campaign sponsored by Evangelical Environmental Network (web)","See attached file(s)","Oil and Natural Gas Sector -- New Source Performance Standards, National Emission Standards for Hazardous Air Pollutants, and Control Techniques Guidelines"
"597",1678211,207,NA,NA,"Mass Comment Campaign sponsored by Evangelical Environmental Network (web)","See attached file(s)","Oil and Natural Gas Sector -- New Source Performance Standards, National Emission Standards for Hazardous Air Pollutants, and Control Techniques Guidelines"
"598",1678211,1809,NA,NA,"Mass Comment Campaign sponsored by Evangelical Environmental Network (web)","See attached file(s)","Oil and Natural Gas Sector -- New Source Performance Standards, National Emission Standards for Hazardous Air Pollutants, and Control Techniques Guidelines"
"599",1678211,15023,NA,NA,"Mass Comment Campaign sponsored by Sierra Club (web)","December 8, 2017
 
RE: Docket EPA-HQ-OAR-2010-0505-12363
 
To Whom It May Concern:

Please find 15,023 comments attached for inclusion in this docket, EPA-HQ-OAR-2010-0505-12363, ""Oil and Natural Gas Sector: Emission Standards for New, Reconstructed, and Modified Sources; Grant of Reconsideration and Partial Stay"" regarding the proposed stay of EPA's methane emission standards. 1780 people have taken the time to write a personalized comment and all 15,023 have signed to the following text:

""I oppose any delay in the implementation of EPA's methane pollution standards. Staying these protections will put our environment and public health at risk. If anything, EPA should strengthen the methane pollution safeguards. We depend on EPA to protect us from harmful pollution that makes it harder to breathe, aggravates asthma, warms our climate, and fills our air with toxic compounds. EPA must fulfill its mission to ""protect human health and the environment"" by maintaining and enforcing these standards and protecting our health. 

Furthermore, the proposed change in the social cost of methane simply doesn't make any sense and disregards basic science and economics. When greenhouse gases like methane are released they don't just stay over the U.S., they warm the entire planet, so we can't create policies that only look at the impacts on the U.S. In addition, EPA's new ""interim domestic"" social cost wrongly and severely discounts the needs of future generations compared to earlier and more accurate versions of the social cost of methane. 

EPA has an obligation to protect all Americans from harmful methane pollution and other emissions from the oil and gas sector. Any attempt to slow or dismantle standards that cut pollution from the oil and gas industry is a direct assault on our health. EPA must therefore abandon its proposal to stay these standards and continue to enforce them without delay.""

We respectfully request the 15,023 comments submitted by the individuals listed in the attached document are reflected in the final comment tally for this docket.

Sincerely,
 
Matthew Gravatt
Associate Director, Federal and Administrative Advocacy
Sierra Club
","Oil and Natural Gas Sector -- New Source Performance Standards, National Emission Standards for Hazardous Air Pollutants, and Control Techniques Guidelines"
"600",1678211,207,NA,NA,"Mass comment campaign sponsoring organization unknown. Sample attached (email)","See attached","Oil and Natural Gas Sector -- New Source Performance Standards, National Emission Standards for Hazardous Air Pollutants, and Control Techniques Guidelines"
"601",1678211,991,NA,NA,"Mass comment campaign sponsoring organization unknown. Sample attached (email)","See attached","Oil and Natural Gas Sector -- New Source Performance Standards, National Emission Standards for Hazardous Air Pollutants, and Control Techniques Guidelines"
"602",1678211,56334,NA,NA,"Mass Comment Campaign sponsoring organization unknown. Sample attached (email)","See Attached","Oil and Natural Gas Sector -- New Source Performance Standards, National Emission Standards for Hazardous Air Pollutants, and Control Techniques Guidelines"
