id,Related,Related-order,Updated,Status,Noteworthy,Type,Type-text,Category,Agency,Agency-info,Rule-header,Rule,Proposed-date,Proposed-link,Proposed-status,Proposed-admin,Proposed-progress,Final-date,Final-link,Final-status,Final-admin,Final-progress,Effective-date,Effective-link,Effective-status,Effective-admin,Effective-progress,Summary,Review
130,,,10/19/2017,Repealed,,CRA,Nullified by Congressional Review Act,Environmental,DoI,Department of the Interior,,Resource Management Planning Rule,4/25/2016,https://www.federalregister.gov/documents/2016/02/25/2016-03232/resource-management-planning,,obama,,12/12/2016,https://www.federalregister.gov/documents/2016/12/12/2016-28724/resource-management-planning,,obama,,1/11/2017,https://www.congress.gov/115/plaws/publ12/PLAW-115publ12.pdf,Nullified,trump,,Nullification of a rule enhancing efficiency and tranparency of resource management planning on public lands.,"On January 30, 2017, <a href=""https://www.congress.gov/member/liz-cheney/C001109"">Rep. Liz Cheney (R-WY)</a> introduced a joint resolution of disapproval to nullify the resource management planning rule under the <a href=""https://www.brookings.edu/research/how-powerful-is-the-congressional-review-act/"">Congressional Review Act</a>. The resolution <a href=""http://clerk.house.gov/evs/2017/roll083.xml"">passed the House</a> on February 7, and <a href=""https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=115&session=1&vote=00082"">passed the Senate</a> on March 7. On March 27, 2017, the resolution was signed by President Trump and <a href=""https://www.congress.gov/115/plaws/publ12/PLAW-115publ12.pdf"">became law</a>, nullifying the rule."
131,,,11/6/2018,Delayed,,,,Financial,NCUA,National Credit Union Administration,,Risk-Based Capital Rule,2/27/2014,https://www.federalregister.gov/documents/2014/02/27/2014-01702/prompt-corrective-action-risk-based-capital,,obama,progress,10/29/2015,https://www.federalregister.gov/documents/2015/10/29/2015-26790/risk-based-capital,,obama,progress,1/1/2020,https://www.federalregister.gov/documents/2018/11/06/2018-24171/risk-based-capital,Delayed,trump,progress,A rule that regulates risk-based capital.,"On October 29, 2015, the National Credit Union Administration (NCUA) <a href=""https://www.federalregister.gov/documents/2015/10/29/2015-26790/risk-based-capital"">finalized</a> a rule regarding its Prompt Corrective Action (PCA) regulations, which require credit unions taking certain risks to hold capital commensurate with that risk. It applied to federally-insured, natural persons credit unions with assets over $100 million. This rule was intended to reduce the risk of a relatively small number of high-risk credit unions exhausting their assets and imposing a burden on other credit unions. It was supposed to go into effect on January 1, 2019, which would have coincided with the Federal Deposit Insurance Corporation's (FDIC) phase-in of risk-based capital measures. 
<br><br>
<em class=""status"">On August 8, 2018, the NCUA Board proposed a rule to delay the effective date by a year to January 1, 2020, and increase the threshold for targeted credit unions to $500 million. </em>This threshold increase would exempt an additional 20% of credit unions from the regulations, bringing the overall exempted credit unions up to 90%.<span class=""new"">This delay, along with the increase in the threshold, was <a href=""https://www.federalregister.gov/documents/2018/08/08/2018-16888/risk-based-capital-supplemental-rule"">finalized</a> on November 6, 2018.</span>"
132,133,1,5/10/2018,Repealed,,,,Telecom,FCC,Federal Communications Commission,Rural Call Completion (Data Reporting Requirements),Rural Call Completion (Data Reporting Requirements),4/12/2013,https://www.federalregister.gov/documents/2013/04/12/2013-08527/rural-call-completion,,obama,progress,12/17/2013,https://www.federalregister.gov/documents/2013/12/17/2013-29867/rural-call-completion,,obama,progress,6/11/2018,https://www.federalregister.gov/documents/2018/05/10/2018-09969/rural-call-completion,Repealed,trump,block,A rule requiring covered providers of long-distance voice service to record and retain data on call completion rates to rural areas.,"Calls originating from a long-distance provider may be handed off multiple times to different providers before reaching their final destination, which is a significant source of rural call completion problems. The <a href=""https://www.federalregister.gov/documents/2013/12/17/2013-29867/rural-call-completion"">2013 Rural Call Completion Order</a> required providers of long-distance voice service that initially select the route, known as ""covered providers,"" to record and retain data on call completion rates to rural areas and report to the Federal Communications Commission (FCC) on a quarterly basis. The rule's data reporting requirements for covered providers were premised on the belief that said providers had the greatest access to call detail information, and so would be best suited to record, retain, and report the relevant data on rural call completion."
133,132,2,5/10/2018,Repealed,,,,Telecom,FCC,Federal Communications Commission,Rural Call Completion (Data Reporting Requirements),Repeal,7/27/2017,https://www.federalregister.gov/documents/2017/07/27/2017-15826/rural-call-completion,,trump,progress,5/10/2018,https://www.federalregister.gov/documents/2018/05/10/2018-09969/rural-call-completion,,trump,progress,6/11/2018,,,trump,progress,Repeal of Rural Call Completion rule.,"On May 10, 2018, the FCC repealed these data reporting requirements, <a href=""https://transition.fcc.gov/Daily_Releases/Daily_Business/2018/db0417/DOC-350254A1.pdf"">claiming</a> they have not provided useful information to the FCC and have been ineffective in deterring call completion failures."
134,135,1,10/19/2017,Repealed,,CRA,Nullified by Congressional Review Act,Labor,DoL,Department of Labor,Safe Harbor for State-Administered Retirement Savings Programs,Safe Harbor for State-Administered Retirement Savings Programs,11/18/2015,https://www.federalregister.gov/documents/2015/11/18/2015-29426/savings-arrangements-established-by-states-for-non-governmental-employees,,obama,,8/30/2016,https://www.federalregister.gov/documents/2016/08/30/2016-20639/savings-arrangements-established-by-states-for-non-governmental-employees,,obama,,10/31/2016,https://www.congress.gov/115/plaws/publ35/PLAW-115publ35.pdf,Nullified,trump,,Nullification of a rule allowing state governments to establish retirement savings programs for private sector employees.,"The safe harbor <a href=""https://www.federalregister.gov/documents/2016/08/30/2016-20639/savings-arrangements-established-by-states-for-non-governmental-employees"">regulations</a> for state-administered retirement savings programs were written in response to legislation in some states to encourage private sector employees to save for retirement by giving them broader access to retirement savings arrangements through their employers. Some states had established state-administered programs to allow private sector employees to contribute salary withholdings to tax-favored retirement accounts, but had expressed concern that their payroll deduction savings programs might inadvertently trigger the <a href=""https://www.gpo.gov/fdsys/pkg/USCODE-2011-title29/pdf/USCODE-2011-title29-chap18.pdf"">Employee Retirement Income Security Act</a> (ERISA). ERISA's broad definition of ""employee pension benefit plan"" meant that it might be possible for an employer to inadvertently establish an ERISA plan simply by purchasing insurance products for employees. The safe harbor regulation helped states establish and operate payroll deduction savings programs in a manner that reduced the risk that ERISA would preempt their laws and programs. <br><br>
On February 7, 2017, <a href=""https://www.congress.gov/member/tim-walberg/W000798"">Rep. Tim Walberg (R-MI)</a> introduced a joint resolution of disapproval to nullify the rule under the <a href=""https://www.brookings.edu/research/how-powerful-is-the-congressional-review-act/"">Congressional Review Act</a>. The resolution <a href=""http://clerk.house.gov/evs/2017/roll096.xml"">passed the House</a> on February 15, and <a href=""https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=115&session=1&vote=00120"">passed the Senate</a> on May 3. On May 17, 2017, the resolution was signed by President Trump and <a href=""https://www.congress.gov/115/plaws/publ35/PLAW-115publ35.pdf"">became law</a>, nullifying the rule. "
135,134,2,10/19/2017,Repealed,,CRA,Nullified by Congressional Review Act,Labor,DoL,Department of Labor,Safe Harbor for State-Administered Retirement Savings Programs,Extended to Cities and Counties,8/30/2016,https://www.federalregister.gov/documents/2016/08/30/2016-20638/savings-arrangements-established-by-state-political-subdivisions-for-non-governmental-employees,,obama,,12/20/2016,https://www.federalregister.gov/documents/2016/12/20/2016-30069/savings-arrangements-established-by-qualified-state-political-subdivisions-for-non-governmental,,obama,,1/19/2017,https://www.congress.gov/115/plaws/publ24/PLAW-115publ24.pdf,Nullified,trump,,Nullification of a rule allowing city and county governments to establish retirement savings programs for private sector employees.,"The safe harbor regulations for state-administered retirement savings programs were <a href=""https://www.federalregister.gov/documents/2016/08/30/2016-20639/savings-arrangements-established-by-states-for-non-governmental-employees"">finalized</a> on August 30, 2017. The final regulation applied to <i>state</i>-sponsored retirement savings programs, and thus did not apply cities and counties. An <a href=""https://www.federalregister.gov/documents/2016/12/20/2016-30069/savings-arrangements-established-by-qualified-state-political-subdivisions-for-non-governmental"">amended rule</a> finalized on December 20, 2016, extended safe harbor for cities and counties to establish retirement savings programs. On February 7, 2017, <a href=""https://www.congress.gov/member/francis-rooney/R000607"">Rep. Francis Rooney (R-FL)</a> introduced a joint resolution of disapproval to nullify the <i>amended</i> rule under the <a href=""https://www.brookings.edu/research/how-powerful-is-the-congressional-review-act/"">Congressional Review Act</a>. The resolution <a href=""http://clerk.house.gov/evs/2017/roll095.xml"">passed the House</a> on February 15, and <a href=""https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=115&session=1&vote=00099"">passed the Senate</a> on March 30. On April 13, 2017, the resolution was signed by President Trump and <a href=""https://www.congress.gov/115/plaws/publ24/PLAW-115publ24.pdf"">became law</a>, nullifying the <i>amended</i> rule. "
136,,,10/19/2017,Repealed,,CRA,Nullified by Congressional Review Act,Education,DoEd,Department of Education,,School Accountability Rule,5/31/2016,https://www.federalregister.gov/documents/2016/05/31/2016-12451/elementary-and-secondary-education-act-of-1965-as-amended-by-the-every-student-succeeds,,obama,,11/29/2016,https://www.federalregister.gov/documents/2016/11/29/2016-27985/elementary-and-secondary-education-act-of-1965-as-amended-by-the-every-student-succeeds,,obama,,1/30/2017,https://www.congress.gov/115/plaws/publ13/PLAW-115publ13.pdf,Nullified,trump,,Nullification of a rule enhancing public school accountability.,"On December 10, 2015, President Obama signed the <a href=""https://www.congress.gov/114/plaws/publ95/PLAW-114publ95.pdf"">Every Student Succeeds Act</a> (ESSA), which requires each state education agency to have an accountability system that is based on multiple indicators, including an indicator of school quality or student success. The <a href=""https://www.federalregister.gov/documents/2016/11/29/2016-27985/elementary-and-secondary-education-act-of-1965-as-amended-by-the-every-student-succeeds"">School Accountability Rule</a> provided clarity to schools as they implemented the new accountability requirements. On February 1, 2017, <a href=""https://www.congress.gov/member/todd-rokita/R000592"">Rep. Todd Rokita (R-IN)</a> introduced a joint resolution of disapproval to nullify the rule under the <a href=""https://www.brookings.edu/research/how-powerful-is-the-congressional-review-act/"">Congressional Review Act</a>. The resolution <a href=""http://clerk.house.gov/evs/2017/roll084.xml"">passed the House</a> on February 7, and <a href=""https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=115&session=1&vote=00084"">passed the Senate</a> on March 9. On March 27, 2017, the resolution was signed by President Trump and <a href=""https://www.congress.gov/115/plaws/publ13/PLAW-115publ13.pdf"">became law</a>, nullifying the rule."
137,,,10/19/2017,In Effect,,,,Health,HHS,Department of Health and Human Services,,Shortening the Open Enrollment Period for 2018 for Obamacare Exchanges,2/17/2017,https://www.federalregister.gov/documents/2017/02/17/2017-03027/patient-protection-and-affordable-care-act-market-stabilization,,trump,progress,4/18/2017,https://www.federalregister.gov/documents/2017/04/18/2017-07712/patient-protection-and-affordable-care-act-market-stabilization,,trump,progress,6/19/2017,,,trump,progress,A rule shortening the open enrollment period for 2018 for Obamacare exchanges from 3 months to 1.5 months.,"The open enrollment period for Obamacare exchanges for 2018 was originally set at November 1, 2017 to January 31, 2018 (3 months). This rule shortened the open enrollment period from November 1, 2017 to December 15, 2017. Brookings Fellow Mathew Fiedler <a href=""https://www.brookings.edu/blog/up-front/2017/02/17/trump-administrations-proposed-change-to-aca-special-enrollment-periods-could-backfire/"">explained</a> the potential impact of the new rule."
138,,,5/1/2018,In Effect,,,,Telecom,FCC,Federal Communications Commission,,Signal Boosters Rule: Rescission,4/18/2018,https://www.federalregister.gov/documents/2018/04/18/2018-08030/improvement-of-wireless-coverage-through-the-use-of-signal-boosters,,trump,progress,4/18/2018,https://www.federalregister.gov/documents/2018/04/18/2018-08031/improvement-of-wireless-coverage-through-the-use-of-signal-boosters,,trump,progress,5/18/2018,,,trump,progress,A rule eliminating the personal use restriction on provider-specific consumer signal boosters.,"Consumer signal boosters are devices that extend and improve wireless service without special engineering or professional installation. Previously, signal boosters were restricted to ""personal use,"" meaning small businesses and other organizations were not allowed to take advantage of them. This rule eliminates the personal use restriction on provider-specific consumer signal boosters."
139,,,6/1/2018,Repealed,,CRA,Nullified by Congressional Review Act,Health,HHS,Department of Health and Human Services,,State Funding for Abortion Providers,9/7/2016,https://www.federalregister.gov/documents/2016/09/07/2016-21359/compliance-with-title-x-requirements-by-project-recipients-in-selecting-subrecipients,,obama,,12/19/2016,https://www.federalregister.gov/documents/2016/12/19/2016-30276/compliance-with-title-x-requirements-by-project-recipients-in-selecting-subrecipients,,obama,,1/18/2017,https://www.congress.gov/115/plaws/publ23/PLAW-115publ23.pdf,Nullified,trump,,Nullification of a rule preventing states from blocking funding for family planning clinics that also provide abortions.,"Title X of the <a href=""https://www.gpo.gov/fdsys/pkg/USCODE-2010-title42/pdf/USCODE-2010-title42-chap6A.pdf"">Public Health Services Act</a> provides federal funding for family planning clinics to provide services for low-income patients. The act specifies that Title X funds may not be used for the performance of abortions, but places no restrictions on the ability of clinics that receive Title X funds to provide abortion counseling and referrals or to perform abortions using non-Title X funds. The Obama administration issued a <a href=""https://www.federalregister.gov/documents/2016/12/19/2016-30276/compliance-with-title-x-requirements-by-project-recipients-in-selecting-subrecipients"">rule</a> that prevented states from blocking Title X funding for family planning clinics that provide abortions, notably Planned Parenthood. The rule was set to go into effect on January 18, 2017. On January 30, 2017, <a href=""https://www.congress.gov/member/diane-black/B001273"">Rep. Diane Black (R-TN)</a> introduced a joint resolution of disapproval to nullify the rule under the <a href=""https://www.brookings.edu/research/how-powerful-is-the-congressional-review-act/"">Congressional Review Act</a>. The resolution <a href=""http://clerk.house.gov/evs/2017/roll099.xml"">passed the House</a> on February 16, 2017. On March 30, 2017, the vice president was called upon to break a 50-50 tie in the Senate, voting <a href=""https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=115&session=1&vote=00101"">in favor</a> of the resolution. On April 13, 2017, the resolution was signed by President Trump and <a href=""https://www.congress.gov/115/plaws/publ23/PLAW-115publ23.pdf"">became law</a>, nullifying the rule. On June 1, 2018, the Department of Health and Human Services (HHS) <a href=""https://www.federalregister.gov/documents/2018/06/01/2018-11673/compliance-with-statutory-program-integrity-requirements"">proposed</a> a rule that would prohibit any family planning clinic that provides abortions from receiving Title X funds."
140,,,10/19/2017,Repealed,,CRA,Nullified by Congressional Review Act,Environmental,DoI,Department of the Interior,,Stream Protection Rule,7/27/2015,https://www.federalregister.gov/documents/2015/07/27/2015-17308/stream-protection-rule,,obama,,12/20/2016,https://www.federalregister.gov/documents/2016/12/20/2016-29958/stream-protection-rule,,obama,,1/19/2017,https://www.congress.gov/115/plaws/publ5/PLAW-115publ5.pdf,Nullified,trump,,Nullification of a rule to minimize the adverse effects of coal mining on streams and other water sources.,"On July 16, 2015, the Department of the Interior (DoI) proposed the <a href=""https://www.federalregister.gov/documents/2016/12/20/2016-29958/stream-protection-rule"">Stream Protection Rule</a>, which required that land within 100 feet of a stream could not be disturbed by surface mining activities, including the dumping of mining waste. The <a href=""https://www.eenews.net/assets/2017/02/23/document_cw_02.pdf"">regulatory impact analysis</a> was published on November 16, 2016, and the <a href=""https://www.federalregister.gov/documents/2016/12/20/2016-29958/stream-protection-rule"">final rule</a> was published on December 20, 2016. The rule was set to go into effect on January 19, 2017, but on January 17, 2017, several coal-producing states <a href=""https://www.courthousenews.com/wp-content/uploads/2017/01/Coal-Lawsuit.pdf"">filed suit</a> in the D.C. District Court. On January 30, 2017, <a href=""https://www.congress.gov/member/bill-johnson/J000292"">Rep. Bill Johnson (R-OH)</a> introduced a joint resolution of disapproval to nullify the rule under the <a href=""https://www.brookings.edu/research/how-powerful-is-the-congressional-review-act/"">Congressional Review Act</a>. The resolution <a href=""http://clerk.house.gov/evs/2017/roll073.xml"">passed the House</a> on February 1, and <a href=""https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=115&session=1&vote=00043"">passed the Senate</a> on February 2. On February 16, 2017, the resolution was signed by President Trump and <a href=""https://www.congress.gov/115/plaws/publ5/PLAW-115publ5.pdf"">became law</a>, nullifying the rule."
141,,,10/19/2017,Repealed,,CRA,Nullified by Congressional Review Act,Education,DoEd,Department of Education,,Teacher Preparation Issues,12/3/2014,https://www.federalregister.gov/documents/2014/12/03/2014-28218/teacher-preparation-issues,,obama,,11/17/2016,https://www.federalregister.gov/documents/2016/10/31/2016-24856/teacher-preparation-issues,,obama,,11/30/2016,https://www.congress.gov/115/plaws/publ14/PLAW-115publ14.pdf,Nullified,trump,,Nullification of a rule defining how institutions of higher education must assess teacher preparation programs.,"The <a href=""https://www.gpo.gov/fdsys/pkg/STATUTE-79/pdf/STATUTE-79-Pg1219.pdf"">Higher Education Act of 1965</a> requires states and institutions of higher education to report on various characteristics of their teacher preparation programs, including an assessment of program performance. This <a href=""https://www.federalregister.gov/documents/2016/10/31/2016-24856/teacher-preparation-issues"">rule</a> defined the indicators of quality that a state must use to assess the performance of its teacher preparation programs, and linked the assessments to eligibility for the federal TEACH grant program, which provides grants to eligible institutions to use for teacher preparation candidates who agree to serve as full-time teachers in high-need fields at low-income schools. The rule was <a href=""https://www.federalregister.gov/documents/2016/10/31/2016-24856/teacher-preparation-issues"">finalized</a> on October 31, 2016. On February 1, 2017, <a href=""https://www.congress.gov/member/brett-guthrie/G000558"">Rep. Brett Guthrie (R-KY)</a> introduced a joint resolution of disapproval to nullify the rule under the <a href=""https://www.brookings.edu/research/how-powerful-is-the-congressional-review-act/"">Congressional Review Act</a>. The resolution <a href=""http://clerk.house.gov/evs/2017/roll085.xml"">passed the House</a> on February 7, and <a href=""https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=115&session=1&vote=00083"">passed the Senate</a> on March 8. On March 27, 2017, the resolution was signed by President Trump and <a href=""https://www.congress.gov/115/plaws/publ14/PLAW-115publ14.pdf"">became law</a>, nullifying the rule."
142,,,10/19/2017,Repealed,,Other,Technical support documents rescinded by president,Environmental,EOP,Executive Office of the President,,"Technical Support Documents on Implementing the ""Social Cost of Carbon"" for Regulatory Impact Analyses",,,,,,,,,,,,,,,,"Withdrawal of technical support documents on implementing the ""social cost of carbon"" for regulatory impact analyses.","The <a href=""https://www.brookings.edu/testimonies/the-social-costs-of-carbon/"">social cost of carbon</a> is an estimate of the monetized damages caused by a one-ton increase in greenhouse gas emissions in a given year. On March 28, 2017, President Trump issued an <a href=""https://www.federalregister.gov/documents/2017/03/31/2017-06576/promoting-energy-independence-and-economic-growth"">executive order</a> withdrawing several technical support documents related to implementing the social cost of carbon for regulatory impact analyses. The withdrawn documents were dated <a href=""https://www.epa.gov/sites/production/files/2016-12/documents/scc_tsd_2010.pdf"">February 2010</a>, <a href=""https://obamawhitehouse.archives.gov/sites/default/files/omb/assets/inforeg/technical-update-social-cost-of-carbon-for-regulator-impact-analysis.pdf"">May 2013</a>, <a href=""https://obamawhitehouse.archives.gov/sites/default/files/omb/assets/inforeg/technical-update-social-cost-of-carbon-for-regulator-impact-analysis.pdf"">November 2013</a>, <a href=""https://obamawhitehouse.archives.gov/sites/default/files/omb/inforeg/scc-tsd-final-july-2015.pdf"">July 2015</a>, <a href=""https://www.epa.gov/sites/production/files/2016-12/documents/addendum_to_sc-ghg_tsd_august_2016.pdf"">August 2016</a>, and <a href=""https://www.epa.gov/sites/production/files/2016-12/documents/sc_co2_tsd_august_2016.pdf"">August 2016</a>. The executive order states that, when monetizing the value of changes in greenhouse gas emissions resulting from regulations, agencies should instead follow <a href=""https://www.whitehouse.gov/sites/whitehouse.gov/files/omb/circulars/A4/a-4.pdf"">earlier guidance</a> from September 2003."
143,,,5/11/2018,In Effect,,,,Health,VA,Department of Veterans Affairs,,Telehealth Rule,10/2/2017,https://www.federalregister.gov/documents/2017/10/02/2017-20951/authority-of-health-care-providers-to-practice-telehealth,,trump,progress,5/11/2018,https://www.federalregister.gov/documents/2018/05/11/2018-10114/authority-of-health-care-providers-to-practice-telehealth,,trump,progress,6/11/2018,,,trump,progress,A rule clarifying that VA health care providers may provide health care through the use of telehealth.,"<a href=""https://www.nejm.org/doi/full/10.1056/NEJMsr1503323"">Telehealth</a> refers to the use of medical information that is exchanged from one site to another through telecommunication. This <a href=""https://www.federalregister.gov/documents/2018/05/11/2018-10114/authority-of-health-care-providers-to-practice-telehealth"">rule</a> clarifies that the Department of Veterans Affairs health care providers may provide health care through the use of telehealth, notwithstanding state laws, rules, licensure, registration, or certification requirements to the contrary. This rule is considered an <a href=""https://www.federalregister.gov/documents/2017/02/03/2017-02451/reducing-regulation-and-controlling-regulatory-costs"">E.O. 13771</a> deregulatory action."
144,,,1/8/2018,In Effect,,,,Telecom,FCC,Federal Communications Commission,,Television Joint Sales Agreement Attribution Rule: Repeal,,,,,,1/8/2018,https://www.federalregister.gov/documents/2018/01/08/2017-28329/2014-quadrennial-regulatory-review,,trump,progress,2/7/2018,,,trump,progress,Repeal of a rule involving television joint sales agreements and attribution under the FCC's ownership rules.,"A joint sales agreement (JSA) is an agreement that authorizes one TV station to sell some or all of the advertising time on another station. The most recent version of the rule stated that TV JSAs that involve the sale of more than 15 percent of a station's advertising time (the brokering station) by another in-market station (the brokered station) are ""attributable"" under the Federal Communication Commission (FCC) ownership rules. As a result, the brokering station was deemed to have an ""attributable interest"" in the brokered station, and thus the brokered station would count toward the brokering station's permissible ownership totals. The Television JSA Attribution Rule was <a href=""https://www.federalregister.gov/documents/2014/05/20/2014-10874/2014-quadrennial-regulatory-review"">finalized</a> on May 20, 2014. 
<br><br>
On November 16, 2017, the FCC voted to repeal the Television JSA Attribution Rule, and the final rule was published in the Federal register January 8, 2018.
"
145,,,10/19/2017,Partially Effective,,,,Environmental,DoE,Department of Energy,,Test Procedures for Central Air Conditioners and Heat Pumps,8/24/2016,https://www.federalregister.gov/documents/2016/08/24/2016-18993/energy-conservation-program-test-procedures-for-central-air-conditioners-and-heat-pumps,,obama,progress,1/5/2017,https://www.federalregister.gov/documents/2017/01/05/2016-30004/energy-conservation-program-test-procedures-for-central-air-conditioners-and-heat-pumps,,obama,progress,7/13/2017,https://www.federalregister.gov/documents/2017/07/13/2017-14473/energy-conservation-program-test-procedures-for-central-air-conditioners-and-heat-pumps,Partially,trump,block,A rule amending the test procedure for central air conditioners and heat pumps.,"The <a href=""https://legcounsel.house.gov/Comps/Energy%20Policy%20And%20Conservation%20Act.pdf"">Energy Policy and Conservation Act</a> sets forth a variety of provisions designed to improve energy efficiency for a variety of consumer products, including central air conditioners and heat pumps. Manufacturers of air conditioners must certify to the Department of Energy (DoE) that their products comply with applicable energy conservation standards. 
<br><br>
On January 2017, the DoE finalized a <a href=""https://www.federalregister.gov/documents/2017/01/05/2016-30004/energy-conservation-program-test-procedures-for-central-air-conditioners-and-heat-pumps"">rule</a> that amended its test procedure for central air conditioners and heat pumps. On March 3, 2017, air conditioner manufacturer Johnson Controls filed a petition for review of two elements of the rule, claiming that the proposed test procedures would produce inaccurate results of the true energy consumption characteristics for two of its models. On May 17, 2017, Johnson Controls filed a petition for a waiver from the applicable test procedure for its two models, which the DoE <a href=""https://energy.gov/sites/prod/files/2017/06/f34/jci-180-day-letter-2017-6-9.pdf"">granted</a> on June 2, 2017. On May 31, 2017, Johnson Controls requested that the DoE grant it an administrative stay pending judicial review by the Seventh U.S. Circuit Court of Appeals. <em class=""status"">On July 3, 2017, the court <a href=""https://energy.gov/sites/prod/files/2017/07/f35/Grant%20of%20Administrative%20Stay%20Concerning%20Test%20Procedure%20For%20Cental%20Air%20Conditioners%20and%20Heat%20Pumps.pdf"">granted the request</a> for an administrative stay, and the DoE postponed the effectiveness of certain provisions of the rule.</em> On September 20, 2017, the DoE <a href=""https://www.federalregister.gov/documents/2017/09/20/2017-20032/notice-of-petition-for-waiver-of-johnson-controls-inc-jci-from-the-department-of-energy-central-air"">granted</a> Johnson Controls' application for an interim waiver from testing for its two models. "
146,,,4/3/2018,Unchanged,,Other,Nullified by the Consolidated Appropriations Act of 2018,Labor,DoL,Department of Labor,,Tip Credit Rule: Partial Rescission,12/5/2017,https://www.federalregister.gov/documents/2017/12/05/2017-25802/tip-regulations-under-the-fair-labor-standards-act-flsa,,trump,,,,,,,,,,,,Partial rescission of a rule restricting the pool of employees eligible for tip sharing.,"The federal minimum wage for service workers who receive most of their earnings from tips is $2.13 per hour, while all other employees must receive the standard minimum wage of $7.25 per hour. Under the <a href=""https://www.dol.gov/whd/regs/statutes/FairLaborStandAct.pdf"">Fair Labor Standards Act</a>, an employer of tipped employees can satisfy its obligation to pay those employees the federal minimum wage by paying a lower direct cash wage and counting a limited amount of the tips received by its employees as a partial credit (known as a ""tip credit""). A <a href=""https://www.gpo.gov/fdsys/pkg/STATUTE-88/pdf/STATUTE-88-Pg55.pdf"">1974 statute</a> stipulates that employers can only take a tip credit if its tipped employees retained all tips. However, the statute does not preclude an employer that takes a tip credit from implementing a tip pool, but requires that only employees who ""customarily and regularly receive tips"" can participate in the pool. In 2011, the Department of Labor (DoL) <a href=""https://www.federalregister.gov/documents/2011/04/05/2011-6749/updating-regulations-issued-under-the-fair-labor-standards-act"">updated</a> its regulations to clarify that tipped employees must retain all tips, regardless of whether the employer takes a tip credit. On December 5, 2017, the DoL <a href=""https://www.federalregister.gov/documents/2017/12/05/2017-25802/tip-regulations-under-the-fair-labor-standards-act-flsa"">proposed</a> to expand tip sharing to include employees who do not regularly receive tips, such as restaurant cooks and dishwashers. 
<br><br>
While the proposed rule ostensibly is meant to close the pay disparity between tipped servers and hourly back-of-the-house employees, <a href=""https://www.washingtonpost.com/news/food/wp/2017/12/07/the-trump-administration-proposes-allow-tip-pooling-in-restaurants-critics-call-it-stealing-workers-wages/?utm_term=.58791a3c2f7c"">critics</a> claim that the proposed rule goes too far by allowing employers to control all tips and distribute them to anyone, including salaried workers or the owners themselves. On March 23, 2018, President Trump <a href=""https://www.nytimes.com/2018/03/23/us/politics/trump-veto-spending-bill.html"">begrudgingly</a> signed the <a href=""https://www.congress.gov/115/bills/hr1625/BILLS-115hr1625enr.pdf"">Consolidated Appropriations Act of 2018</a> to fund the government through fiscal year 2018. Tucked into the omnibus spending bill is a <a href=""http://money.cnn.com/2018/03/24/news/economy/restaurants-tips-spending-bill/index.html"">provision</a> (Sec. 1201) that invalidates the DoL's proposed revision to the Tip Credit Rule; the law explicitily states, ""An employer may not keep tips received by its employees for any purposes."""
